id,name,address,phone,nin,assets,lat,lon
2,Mustapha Ahmad,Customer address,2348077438400,59248766382,8,9.398353173776876,11.739790080599594
3,Wasiu Khalid,Customer address,2348091508587,58961559036,2,10.124352400414793,10.979721536706133
4,Wasiu Yusuf,Customer address,2348069200649,58913751658,8,10.108777993060142,5.53290845151598
5,Wasiu Charles,Customer address,2348087908064,59155683686,7,10.929450006186782,9.333395206542974
6,Dahir Ahmad,Customer address,2348058649105,59162096778,2,9.046589177532606,3.338961103436981
7,Yazid Abubakar,Customer address,2348051267356,58473510485,3,10.414145436998869,8.401821797467425
8,Khalil Nicholas,Customer address,2348091563822,59158916470,4,8.459285284945794,9.583589315815559
9,Wasiu Abubakar,Customer address,2348055365648,58425059805,6,10.908318132958595,9.490558272428792
10,Dahir Khalid,Customer address,2348059408748,58990555400,8,11.096238947488432,5.751173888114356
11,Khalil Paul,Customer address,2348087526264,58349874848,3,8.11554631535479,7.675706882351905
12,Kingsley Khalid,Customer address,2348049184885,59142182891,9,11.642326509163125,11.397685944182385
13,Precious Charles,Customer address,2348062182210,59001688804,5,7.433732958824092,6.469500673160507
14,Precious Paul,Customer address,2348090427396,58788918506,2,9.864579598089698,4.332794052015045
15,Ronald Ahmad,Customer address,2348057369588,58946321633,4,8.443250373790052,11.323914949164482
16,Habib Pius,Customer address,2348074166578,58684643834,3,10.07858109355832,11.400327481544211
17,Dahir Chinedu,Customer address,2348088828106,59044124579,3,8.842047259607519,10.780443471993243
18,Sunday Khalid,Customer address,2348063649058,58851491453,5,9.319045383117109,4.7834809903224675
19,Yazid Aliyu,Customer address,2348062472536,58399649077,3,9.876115117666654,8.200801019477531
20,Sunday Aliyu,Customer address,2348090059627,58696580426,4,10.607776455144133,6.034565007035162
21,Precious Atiku,Customer address,2348055401783,58842292357,4,10.639965085398423,7.1074913124200805
22,Wasiu Atiku,Customer address,2348075065366,59248727946,0,8.8345200650575,9.49528279690695
23,Aminu Khalid,Customer address,2348089681396,58247814836,4,11.267409427371286,11.72144644156898
24,Jacob Chukwuma,Customer address,2348088760312,59144479434,3,10.60373739325274,3.760721259991568
25,Yazid Charles,Customer address,2348074093701,58731491544,7,10.309792034176386,7.555995408245387
26,Mustapha Aliyu,Customer address,2348091637717,58990298109,7,9.129113564182385,6.530025216121086
27,Sagir Pius,Customer address,2348097602330,59297438340,9,9.253741266125415,11.511374215214692
28,Jacob Atiku,Customer address,2348063122208,58248811548,8,7.383747023636178,8.69014687119287
29,Sagir Chukwuma,Customer address,2348070195506,58388624633,6,8.671615962277874,11.808312876548326
30,John Abubakar,Customer address,2348054431588,58778029493,4,7.106622771777738,4.28859448327396
31,Precious Nicholas,Customer address,2348067587010,58476510423,3,10.484387426557419,3.4906744240195726
32,Yazid Shettima,Customer address,2348078543924,58591814732,9,9.670521024767108,8.338869264418058
33,Wasiu Charles,Customer address,2348094365158,59352662726,9,9.431666741303863,8.536158135885513
34,Kingsley Paul,Customer address,2348077632944,59144090709,5,9.604351807800928,9.792334254810475
35,John Chukwuma,Customer address,2348084473001,58791083367,9,11.56381235958828,10.368753735837075
36,Sunday Nicholas,Customer address,2348052541117,58846251463,1,7.6915760784620755,9.070850005538036
37,Ronald Ahmad,Customer address,2348090433123,58357068258,3,8.146449636655774,8.459302845553298
38,Mustapha Aliyu,Customer address,2348054732186,59168558927,4,9.943936480769432,6.152468268110114
39,Yazid Shettima,Customer address,2348091656626,59344146842,1,11.988985338933439,8.11657045996962
40,Wasiu Aliyu,Customer address,2348080636607,59145303716,5,10.628914829522367,10.531030735431665
41,Wasiu Shettima,Customer address,2348073819523,58959267281,9,9.744088091051681,11.055703887379693
42,Grace Paul,Customer address,2348062532585,58920230830,8,8.858757465427855,7.32026572117997
43,Yazid Olu,Customer address,2348087202940,58896754000,0,8.229973262637502,8.863863546686963
44,Jacob Khalid,Customer address,2348094069639,58427805138,9,11.004807374732053,11.226687449787596
45,Mustapha Ahmad,Customer address,2348057468609,58515351242,4,7.765356904220466,7.12741807870835
46,Wasiu Aliyu,Customer address,2348089562170,58353960479,8,9.087628706815657,10.210277927386812
47,Khalil Shettima,Customer address,2348068996600,59163843065,3,7.771050302930416,7.391747980166617
48,Jacob Olu,Customer address,2348095521796,58577639825,6,8.095521797239817,9.06572526013418
49,Yazid Ahmad,Customer address,2348049673858,58937099514,6,7.524782118700118,3.22994369399959
50,Precious Chukwuma,Customer address,2348087344669,58834188122,3,8.288418405382743,7.283631944586565
51,Wasiu Paul,Customer address,2348049426076,58256590915,2,8.085072461776734,10.42018963465187
52,Habib Abubakar,Customer address,2348091501860,58512344823,0,8.619775346918727,9.027376618262522
53,Precious Ahmad,Customer address,2348091513490,58391537857,9,10.7609161519073,8.705760020099847
54,Aminu Abubakar,Customer address,2348058826938,59202335443,7,8.6900119136223,6.935836839079133
55,Ronald Atiku,Customer address,2348095464792,58660020036,6,10.84366382851086,5.620147049714945
56,Grace Aliyu,Customer address,2348075261676,58717445577,9,10.962515798922048,6.914921653508136
57,Precious Kamal,Customer address,2348082103634,59357396650,4,9.735774693662947,5.856572253874171
58,Mustapha Kamal,Customer address,2348083624597,58845409052,1,9.858253921154018,6.545331875357129
59,Ronald Pius,Customer address,2348065856604,58753183119,3,11.543756442993033,6.237100953809706
60,Habib Paul,Customer address,2348068710248,58900489505,2,10.870742092628658,6.013629096768453
61,Yazid Ahmad,Customer address,2348082819386,59339610269,9,8.68987011662274,4.898727784214529
62,Habib Atiku,Customer address,2348080540152,58248096493,9,8.475619433209756,10.062898262384262
63,Kingsley Aliyu,Customer address,2348071173438,58402603033,8,7.469993814447299,10.954727943574994
64,Dahir Aliyu,Customer address,2348068796103,58454508598,8,10.802044996250238,11.976630754580967
65,John Atiku,Customer address,2348066588332,58301535370,7,7.706820017749002,5.34023647376269
66,Sunday Yusuf,Customer address,2348079156168,59179604696,2,7.419169797040744,8.879267381502107
67,Aminu Chinedu,Customer address,2348090188126,59192105816,8,7.600881048557739,4.479524881443772
68,Kingsley Paul,Customer address,2348087581971,59082042999,3,8.333203651794747,4.016905520262357
69,Yazid Paul,Customer address,2348078913418,58337657691,5,8.229831139209383,11.604686939986971
70,Precious Atiku,Customer address,2348090694574,59141258547,7,11.587326040764419,11.579289255549645
71,Khalil Charles,Customer address,2348090944304,58795106777,5,9.378146966676681,6.301121180484914
72,Jacob Pius,Customer address,2348053864410,58515239288,3,9.523880815998718,10.03394250046183
73,Kingsley Yusuf,Customer address,2348072599308,58813986198,3,11.646579305588375,6.851428402729574
74,Kingsley Chukwuma,Customer address,2348095862274,59308363115,7,7.447611358164988,3.8340733267098535
75,Yazid Shettima,Customer address,2348094498692,59201667872,2,8.532598428829827,10.049853112409387
76,Ronald Chukwuma,Customer address,2348086917051,58252699225,7,8.149338194926461,11.869508178917341
